<TICKER>,<PER>,<DATE>,<TIME>,<OPEN>,<HIGH>,<LOW>,<CLOSE>,<VOL>
ICE.BRN,D,20140202,000000,105.7500000,105.7500000,105.4400000,105.5500000,113
ICE.BRN,D,20140203,000000,105.5700000,106.0500000,104.7800000,105.2700000,49438
ICE.BRN,D,20140204,000000,105.2000000,105.5600000,104.8800000,105.3800000,31416
ICE.BRN,D,20140205,000000,105.3300000,105.8200000,105.0000000,105.5600000,38648
ICE.BRN,D,20140206,000000,105.7100000,106.8800000,105.5500000,106.7500000,39920
ICE.BRN,D,20140207,000000,106.7700000,109.0200000,106.2900000,108.8300000,73752
ICE.BRN,D,20140209,000000,108.9600000,108.9700000,108.7700000,108.9500000,64
ICE.BRN,D,20140210,000000,108.9600000,109.0100000,107.7300000,107.7800000,61597
ICE.BRN,D,20140211,000000,107.8300000,108.6300000,107.8300000,108.2000000,70319
ICE.BRN,D,20140212,000000,108.2400000,109.0000000,108.0700000,108.2700000,103739
ICE.BRN,D,20140213,000000,108.2000000,108.7400000,107.6400000,108.5800000,102707
ICE.BRN,D,20140214,000000,108.5800000,109.2500000,107.8500000,109.0500000,86107
ICE.BRN,D,20140216,000000,109.0200000,109.4000000,109.0200000,109.3800000,499
ICE.BRN,D,20140217,000000,109.3600000,109.3700000,108.6400000,109.1000000,34451
ICE.BRN,D,20140218,000000,109.0900000,110.7000000,108.8400000,110.6300000,101275
ICE.BRN,D,20140219,000000,110.5200000,110.8200000,110.0200000,110.4200000,100932
ICE.BRN,D,20140220,000000,110.3900000,110.4900000,109.5800000,110.4900000,100575
ICE.BRN,D,20140221,000000,110.4900000,110.4900000,109.3500000,109.8400000,100833
ICE.BRN,D,20140223,000000,109.9900000,110.1300000,109.8900000,110.1300000,272
ICE.BRN,D,20140224,000000,110.1200000,110.7700000,109.5000000,110.7100000,100360
ICE.BRN,D,20140225,000000,110.6400000,110.6400000,109.4200000,109.5900000,93772
ICE.BRN,D,20140226,000000,109.5600000,109.9700000,109.2000000,109.5100000,91286
ICE.BRN,D,20140227,000000,109.4100000,109.4500000,108.6500000,108.7700000,109488
ICE.BRN,D,20140228,000000,108.8500000,109.3400000,108.4000000,108.6500000,102250
ICE.BRN,D,20140302,000000,108.8300000,110.7000000,108.8300000,110.4900000,1910
ICE.BRN,D,20140303,000000,110.5000000,111.8700000,109.9200000,110.7800000,53805
ICE.BRN,D,20140304,000000,110.6400000,110.8600000,108.6000000,108.6200000,44442
ICE.BRN,D,20140305,000000,108.6700000,108.9300000,107.0900000,107.2900000,39833
ICE.BRN,D,20140306,000000,107.2000000,107.9700000,106.8600000,107.8000000,41826
ICE.BRN,D,20140307,000000,107.7300000,108.5500000,107.2700000,108.2300000,50146
ICE.BRN,D,20140309,000000,108.3000000,108.3200000,108.0700000,108.1200000,29
ICE.BRN,D,20140310,000000,108.2100000,108.2400000,107.2100000,107.3800000,36741
ICE.BRN,D,20140311,000000,107.3000000,108.0800000,107.2700000,107.7700000,43608
ICE.BRN,D,20140312,000000,107.6600000,107.8400000,106.9200000,107.6000000,96322
ICE.BRN,D,20140313,000000,107.5300000,107.7900000,106.5000000,106.9900000,91337
ICE.BRN,D,20140314,000000,106.8200000,108.5000000,106.7500000,108.5000000,120033
ICE.BRN,D,20140316,000000,108.5100000,108.6000000,108.3100000,108.3200000,750
ICE.BRN,D,20140317,000000,108.3500000,108.4000000,106.1600000,106.4000000,112936
ICE.BRN,D,20140318,000000,106.2800000,106.8500000,105.8500000,106.6500000,86172
ICE.BRN,D,20140319,000000,106.5900000,106.8700000,105.7100000,105.8400000,107803
ICE.BRN,D,20140320,000000,105.8700000,106.7500000,105.4100000,106.2300000,122795
ICE.BRN,D,20140321,000000,106.2500000,107.7700000,106.0100000,107.2000000,114972
ICE.BRN,D,20140323,000000,106.9700000,107.0900000,106.8000000,106.8100000,199
ICE.BRN,D,20140324,000000,106.7900000,107.5000000,106.4500000,106.5900000,88767
ICE.BRN,D,20140325,000000,106.5900000,107.4800000,106.4400000,106.9300000,101007
ICE.BRN,D,20140326,000000,106.9400000,107.3500000,106.4800000,107.0000000,88464
ICE.BRN,D,20140327,000000,106.9200000,107.9900000,106.7700000,107.6900000,107367
ICE.BRN,D,20140328,000000,107.7300000,108.3900000,107.6200000,107.9700000,91224
ICE.BRN,D,20140330,000000,107.8900000,107.9700000,107.7800000,107.9200000,146
ICE.BRN,D,20140331,000000,107.9500000,108.3300000,107.0500000,107.7000000,104113
ICE.BRN,D,20140401,000000,107.5500000,107.7000000,105.0300000,105.3100000,52870
ICE.BRN,D,20140402,000000,105.3300000,105.7600000,103.9600000,104.7000000,81871
ICE.BRN,D,20140403,000000,104.5900000,106.2400000,104.4100000,106.1400000,58761
ICE.BRN,D,20140404,000000,106.1100000,106.9100000,106.0400000,106.5700000,51932
ICE.BRN,D,20140406,000000,106.3000000,106.3100000,106.0700000,106.1000000,311
ICE.BRN,D,20140407,000000,106.1000000,106.6000000,105.1200000,105.9800000,53317
ICE.BRN,D,20140408,000000,106.0000000,107.8000000,105.8000000,107.4800000,67060
ICE.BRN,D,20140409,000000,107.5100000,108.1200000,107.1000000,107.9000000,66957
ICE.BRN,D,20140410,000000,107.8800000,107.9100000,107.3300000,107.3900000,53545
ICE.BRN,D,20140411,000000,107.3800000,107.9200000,107.0600000,107.1500000,74965
ICE.BRN,D,20140413,000000,107.4900000,107.8800000,107.4900000,107.8500000,387
